benchmark,#PI,#PO,#AIG,#level,TLG,#level,time(s)
b14.blif,277,299,5609,65,2853,50,0.10
b15.blif,485,519,8158,65,4220,42,0.14
b17.blif,1452,1512,26389,93,13352,80,0.57
b18.blif,3357,3343,77757,132,38960,120,2.36
b19.blif,6666,6669,156224,136,78623,119,4.69
b20.blif,522,512,11552,66,5932,59,0.20
b21.blif,522,512,11728,70,6040,61,0.22
b22.blif,767,757,17614,68,8952,58,0.31
c6288.blif,32,32,2334,120,1378,103,0.04
c7552.blif,207,108,1961,29,1005,26,0.03
s13207.blif,700,790,2605,33,1283,20,0.05
s15850.blif,611,684,3330,46,1571,27,0.05
s35932.blif,1763,2048,10124,14,4736,9,0.09
s38417.blif,1664,1742,9062,30,4674,21,0.18
s38584.blif,1464,1730,11646,34,5061,20,0.18
