benchmark,#PI,#PO,#TLG,#level,time(s),#TLG,#level,time(s)
b14.blif,277,299,2680,13,8.13,2253,13,0.01
b15.blif,485,519,4077,16,12.33,3616,16,0.01
b17.blif,1452,1512,13009,22,31.80,11279,22,0.04
b18.blif,3357,3343,36370,43,79.99,30732,43,0.13
b19.blif,6666,6669,72362,46,165.91,61320,46,0.29
b20.blif,522,512,5660,15,15.97,4679,15,0.02
b21.blif,522,512,5660,16,16.77,4730,16,0.02
b22.blif,767,757,8429,16,20.94,7000,16,0.02
c6288.blif,32,32,1424,29,5.04,1105,29,0.00
c7552.blif,207,108,950,10,3.45,716,10,0.00
s13207.blif,700,790,1257,8,1.59,1046,8,0.00
s15850.blif,611,684,1630,10,2.31,1360,10,0.00
s35932.blif,1763,2048,5878,5,1.67,4299,5,0.01
s38417.blif,1664,1742,4857,8,4.43,4248,8,0.01
s38584.blif,1464,1730,4391,8,4.82,4000,8,0.01
